Date;Year;Month_Num;Month_Name;Quarter;Week;Machine;Process_Step;Total_Pieces;Good_Pieces;Rejected_Pieces;Total_Downtime [sec];Total_Run_Time [sec];Total_Planned [sec];Avg_OEE;Avg_Availability;Avg_Performance;Avg_Quality;Shifts_Run;Scrap_Rate;FPY
18/02/2023;2023;2;Feb;Q1;7;Band Saw;1;16;13;3;5497;23303;28800;0.555;0.809;0.843;0.812;1;0.1875;0.8125
19/02/2023;2023;2;Feb;Q1;7;Band Saw;1;10;9;1;4669;24131;28800;0.654;0.838;0.867;0.9;1;0.01;0.09
20/02/2023;2023;2;Feb;Q1;8;Band Saw;1;16;15;1;3723;25077;28800;0.696;0.871;0.852;0.938;1;0.0625;0.9375
21/02/2023;2023;2;Feb;Q1;8;Band Saw;1;14;12;2;5736;23064;28800;0.55;0.801;0.801;0.857;1;0.1429;0.8571
22/02/2023;2023;2;Feb;Q1;8;Band Saw;1;13;11;2;4479;24321;28800;0.614;0.844;0.859;0.846;1;0.1538;0.8462
23/02/2023;2023;2;Feb;Q1;8;Band Saw;1;16;15;1;5411;23389;28800;0.66;0.812;0.867;0.938;1;0.0625;0.9375
24/02/2023;2023;2;Feb;Q1;8;Band Saw;1;17;16;1;4437;24363;28800;0.689;0.846;0.865;0.941;1;0.0588;0.9412
25/02/2023;2023;2;Feb;Q1;8;Band Saw;1;17;15;2;6182;22618;28800;0.612;0.785;0.883;0.882;1;0.1176;0.8824
26/02/2023;2023;2;Feb;Q1;8;Band Saw;1;13;11;2;5915;22885;28800;0.588;0.795;0.874;0.846;1;0.1538;0.8462
27/02/2023;2023;2;Feb;Q1;9;Band Saw;1;14;12;2;4160;24640;28800;0.632;0.856;0.862;0.857;1;0.1429;0.8571
28/02/2023;2023;2;Feb;Q1;9;Band Saw;1;16;14;2;5229;23571;28800;0.604;0.818;0.844;0.875;1;0.0125;0.0875
01/03/2023;2023;3;Mar;Q1;9;Band Saw;1;17;16;1;4943;23857;28800;0.616;0.828;0.79;0.941;1;0.0588;0.9412
02/03/2023;2023;3;Mar;Q1;9;Band Saw;1;13;11;2;5576;23224;28800;0.587;0.806;0.861;0.846;1;0.1538;0.8462
03/03/2023;2023;3;Mar;Q1;9;Band Saw;1;14;14;0;3533;25267;28800;0.748;0.877;0.853;1;1;0;1
04/03/2023;2023;3;Mar;Q1;9;Band Saw;1;12;11;1;4979;23821;28800;0.648;0.827;0.855;0.917;1;0.0833;0.9167
05/03/2023;2023;3;Mar;Q1;9;Band Saw;1;12;12;0;5305;23495;28800;0.655;0.816;0.803;1;1;0;1
06/03/2023;2023;3;Mar;Q1;10;Band Saw;1;17;16;1;2838;25962;28800;0.687;0.901;0.809;0.941;1;0.0588;0.9412
07/03/2023;2023;3;Mar;Q1;10;Band Saw;1;18;17;1;3342;25458;28800;0.736;0.884;0.882;0.944;1;0.0556;0.9444
08/03/2023;2023;3;Mar;Q1;10;Band Saw;1;15;14;1;2592;26208;28800;0.717;0.91;0.845;0.933;1;0.0667;0.9333
09/03/2023;2023;3;Mar;Q1;10;Band Saw;1;17;15;2;4142;24658;28800;0.657;0.856;0.869;0.882;1;0.1176;0.8824
10/03/2023;2023;3;Mar;Q1;10;Band Saw;1;16;15;1;5006;23794;28800;0.656;0.826;0.847;0.938;1;0.0625;0.9375
11/03/2023;2023;3;Mar;Q1;10;Band Saw;1;13;12;1;5693;23107;28800;0.627;0.802;0.847;0.923;1;0.0769;0.9231
12/03/2023;2023;3;Mar;Q1;10;Band Saw;1;16;15;1;4443;24357;28800;0.696;0.846;0.878;0.938;1;0.0625;0.9375
13/03/2023;2023;3;Mar;Q1;11;Band Saw;1;19;18;1;5804;22996;28800;0.627;0.798;0.829;0.947;1;0.0526;0.9474
14/03/2023;2023;3;Mar;Q1;11;Band Saw;1;15;15;0;3170;25630;28800;0.756;0.89;0.849;1;1;0;1
15/03/2023;2023;3;Mar;Q1;11;Band Saw;1;19;19;0;2886;25914;28800;0.747;0.9;0.83;1;1;0;1
16/03/2023;2023;3;Mar;Q1;11;Band Saw;1;8;7;1;4329;24471;28800;0.618;0.85;0.831;0.875;1;0.0125;0.0875
17/03/2023;2023;3;Mar;Q1;11;Band Saw;1;17;15;2;4714;24086;28800;0.617;0.836;0.836;0.882;1;0.1176;0.8824
18/03/2023;2023;3;Mar;Q1;11;Band Saw;1;15;14;1;4349;24451;28800;0.676;0.849;0.854;0.933;1;0.0667;0.9333
19/03/2023;2023;3;Mar;Q1;11;Band Saw;1;14;13;1;2568;26232;28800;0.702;0.911;0.83;0.929;1;0.0714;0.9286
20/03/2023;2023;3;Mar;Q1;12;Band Saw;1;15;14;1;4300;24500;28800;0.705;0.851;0.888;0.933;1;0.0667;0.9333
21/03/2023;2023;3;Mar;Q1;12;Band Saw;1;9;7;2;3236;25564;28800;0.563;0.888;0.816;0.778;1;0.2222;0.7778
22/03/2023;2023;3;Mar;Q1;12;Band Saw;1;14;13;1;4964;23836;28800;0.645;0.828;0.84;0.929;1;0.0714;0.9286
23/03/2023;2023;3;Mar;Q1;12;Band Saw;1;16;15;1;4699;24101;28800;0.652;0.837;0.831;0.938;1;0.0625;0.9375
24/03/2023;2023;3;Mar;Q1;12;Band Saw;1;19;19;0;3555;25245;28800;0.784;0.877;0.895;1;1;0;1
25/03/2023;2023;3;Mar;Q1;12;Band Saw;1;13;12;1;3928;24872;28800;0.68;0.864;0.853;0.923;1;0.0769;0.9231
26/03/2023;2023;3;Mar;Q1;12;Band Saw;1;13;12;1;3451;25349;28800;0.716;0.88;0.881;0.923;1;0.0769;0.9231
27/03/2023;2023;3;Mar;Q1;13;Band Saw;1;13;12;1;4323;24477;28800;0.624;0.85;0.796;0.923;1;0.0769;0.9231
28/03/2023;2023;3;Mar;Q1;13;Band Saw;1;17;15;2;5214;23586;28800;0.618;0.819;0.855;0.882;1;0.1176;0.8824
29/03/2023;2023;3;Mar;Q1;13;Band Saw;1;16;15;1;3515;25285;28800;0.721;0.878;0.876;0.938;1;0.0625;0.9375
30/03/2023;2023;3;Mar;Q1;13;Band Saw;1;13;12;1;4819;23981;28800;0.652;0.833;0.849;0.923;1;0.0769;0.9231
31/03/2023;2023;3;Mar;Q1;13;Band Saw;1;16;14;2;3914;24886;28800;0.667;0.864;0.882;0.875;1;0.0125;0.0875
01/04/2023;2023;4;Apr;Q2;13;Band Saw;1;15;13;2;3684;25116;28800;0.626;0.872;0.828;0.867;1;0.1333;0.8667
02/04/2023;2023;4;Apr;Q2;13;Band Saw;1;17;15;2;4284;24516;28800;0.671;0.851;0.894;0.882;1;0.1176;0.8824
03/04/2023;2023;4;Apr;Q2;14;Band Saw;1;13;10;3;3472;25328;28800;0.625;0.879;0.924;0.769;1;0.2308;0.7692
04/04/2023;2023;4;Apr;Q2;14;Band Saw;1;14;14;0;3893;24907;28800;0.721;0.865;0.834;1;1;0;1
05/04/2023;2023;4;Apr;Q2;14;Band Saw;1;14;14;0;3329;25471;28800;0.735;0.884;0.831;1;1;0;1
06/04/2023;2023;4;Apr;Q2;14;Band Saw;1;11;11;0;6098;22702;28800;0.706;0.788;0.895;1;1;0;1
07/04/2023;2023;4;Apr;Q2;14;Band Saw;1;16;14;2;4409;24391;28800;0.667;0.847;0.899;0.875;1;0.0125;0.0875
08/04/2023;2023;4;Apr;Q2;14;Band Saw;1;15;12;3;3765;25035;28800;0.576;0.869;0.828;0.8;1;0.02;0.08
09/04/2023;2023;4;Apr;Q2;14;Band Saw;1;15;15;0;4565;24235;28800;0.7;0.841;0.832;1;1;0;1
10/04/2023;2023;4;Apr;Q2;15;Band Saw;1;14;11;3;4280;24520;28800;0.56;0.851;0.836;0.786;1;0.2143;0.7857
11/04/2023;2023;4;Apr;Q2;15;Band Saw;1;11;11;0;4184;24616;28800;0.684;0.855;0.801;1;1;0;1
12/04/2023;2023;4;Apr;Q2;15;Band Saw;1;14;11;3;4916;23884;28800;0.531;0.829;0.815;0.786;1;0.2143;0.7857
13/04/2023;2023;4;Apr;Q2;15;Band Saw;1;14;13;1;5041;23759;28800;0.622;0.825;0.812;0.929;1;0.0714;0.9286
14/04/2023;2023;4;Apr;Q2;15;Band Saw;1;13;13;0;3913;24887;28800;0.709;0.864;0.82;1;1;0;1
15/04/2023;2023;4;Apr;Q2;15;Band Saw;1;14;13;1;3874;24926;28800;0.679;0.865;0.845;0.929;1;0.0714;0.9286
16/04/2023;2023;4;Apr;Q2;15;Band Saw;1;16;15;1;4137;24663;28800;0.686;0.856;0.854;0.938;1;0.0625;0.9375
17/04/2023;2023;4;Apr;Q2;16;Band Saw;1;20;19;1;2362;26438;28800;0.784;0.918;0.898;0.95;1;0.005;0.095
18/04/2023;2023;4;Apr;Q2;16;Band Saw;1;15;14;1;3051;25749;28800;0.678;0.894;0.812;0.933;1;0.0667;0.9333
19/04/2023;2023;4;Apr;Q2;16;Band Saw;1;15;13;2;5575;23225;28800;0.615;0.806;0.879;0.867;1;0.1333;0.8667
20/04/2023;2023;4;Apr;Q2;16;Band Saw;1;15;14;1;5818;22982;28800;0.625;0.798;0.839;0.933;1;0.0667;0.9333
21/04/2023;2023;4;Apr;Q2;16;Band Saw;1;10;10;0;4160;24640;28800;0.722;0.856;0.844;1;1;0;1
22/04/2023;2023;4;Apr;Q2;16;Band Saw;1;15;14;1;4883;23917;28800;0.673;0.83;0.869;0.933;1;0.0667;0.9333
23/04/2023;2023;4;Apr;Q2;16;Band Saw;1;15;13;2;4650;24150;28800;0.587;0.839;0.808;0.867;1;0.1333;0.8667
24/04/2023;2023;4;Apr;Q2;17;Band Saw;1;21;20;1;7074;21726;28800;0.617;0.754;0.859;0.952;1;0.0476;0.9524
25/04/2023;2023;4;Apr;Q2;17;Band Saw;1;14;13;1;5358;23442;28800;0.644;0.814;0.852;0.929;1;0.0714;0.9286
26/04/2023;2023;4;Apr;Q2;17;Band Saw;1;16;16;0;4266;24534;28800;0.735;0.852;0.863;1;1;0;1
27/04/2023;2023;4;Apr;Q2;17;Band Saw;1;15;15;0;3541;25259;28800;0.751;0.877;0.856;1;1;0;1
28/04/2023;2023;4;Apr;Q2;17;Band Saw;1;12;11;1;2971;25829;28800;0.764;0.897;0.929;0.917;1;0.0833;0.9167
29/04/2023;2023;4;Apr;Q2;17;Band Saw;1;18;18;0;4556;24244;28800;0.694;0.842;0.824;1;1;0;1
30/04/2023;2023;4;Apr;Q2;17;Band Saw;1;17;16;1;3716;25084;28800;0.679;0.871;0.828;0.941;1;0.0588;0.9412
01/05/2023;2023;5;May;Q2;18;Band Saw;1;17;15;2;3133;25667;28800;0.649;0.891;0.825;0.882;1;0.1176;0.8824
02/05/2023;2023;5;May;Q2;18;Band Saw;1;12;12;0;3812;24988;28800;0.718;0.868;0.827;1;1;0;1
03/05/2023;2023;5;May;Q2;18;Band Saw;1;18;16;2;3431;25369;28800;0.646;0.881;0.824;0.889;1;0.1111;0.8889
04/05/2023;2023;5;May;Q2;18;Band Saw;1;11;11;0;5855;22945;28800;0.706;0.797;0.886;1;1;0;1
05/05/2023;2023;5;May;Q2;18;Band Saw;1;16;12;4;5150;23650;28800;0.551;0.821;0.894;0.75;1;0.025;0.075
06/05/2023;2023;5;May;Q2;18;Band Saw;1;21;19;2;4371;24429;28800;0.634;0.848;0.827;0.905;1;0.0952;0.9048
07/05/2023;2023;5;May;Q2;18;Band Saw;1;12;10;2;5674;23126;28800;0.547;0.803;0.818;0.833;1;0.1667;0.8333
08/05/2023;2023;5;May;Q2;19;Band Saw;1;13;12;1;4446;24354;28800;0.673;0.846;0.862;0.923;1;0.0769;0.9231
09/05/2023;2023;5;May;Q2;19;Band Saw;1;15;15;0;3624;25176;28800;0.723;0.874;0.827;1;1;0;1
10/05/2023;2023;5;May;Q2;19;Band Saw;1;13;12;1;5712;23088;28800;0.642;0.802;0.867;0.923;1;0.0769;0.9231
11/05/2023;2023;5;May;Q2;19;Band Saw;1;11;8;3;4850;23950;28800;0.516;0.832;0.853;0.727;1;0.2727;0.7273
12/05/2023;2023;5;May;Q2;19;Band Saw;1;15;14;1;3470;25330;28800;0.652;0.88;0.795;0.933;1;0.0667;0.9333
13/05/2023;2023;5;May;Q2;19;Band Saw;1;12;10;2;4211;24589;28800;0.639;0.854;0.898;0.833;1;0.1667;0.8333
14/05/2023;2023;5;May;Q2;19;Band Saw;1;16;13;3;3611;25189;28800;0.644;0.875;0.907;0.812;1;0.1875;0.8125
15/05/2023;2023;5;May;Q2;20;Band Saw;1;12;12;0;3167;25633;28800;0.735;0.89;0.825;1;1;0;1
16/05/2023;2023;5;May;Q2;20;Band Saw;1;19;18;1;5189;23611;28800;0.647;0.82;0.833;0.947;1;0.0526;0.9474
17/05/2023;2023;5;May;Q2;20;Band Saw;1;13;12;1;6050;22750;28800;0.624;0.79;0.856;0.923;1;0.0769;0.9231
18/05/2023;2023;5;May;Q2;20;Band Saw;1;14;13;1;3153;25647;28800;0.709;0.891;0.857;0.929;1;0.0714;0.9286
19/05/2023;2023;5;May;Q2;20;Band Saw;1;17;14;3;4871;23929;28800;0.594;0.831;0.868;0.824;1;0.1765;0.8235
20/05/2023;2023;5;May;Q2;20;Band Saw;1;11;9;2;3808;24992;28800;0.649;0.868;0.914;0.818;1;0.1818;0.8182
21/05/2023;2023;5;May;Q2;20;Band Saw;1;15;14;1;3951;24849;28800;0.676;0.863;0.84;0.933;1;0.0667;0.9333
22/05/2023;2023;5;May;Q2;21;Band Saw;1;18;17;1;3859;24941;28800;0.67;0.866;0.819;0.944;1;0.0556;0.9444
23/05/2023;2023;5;May;Q2;21;Band Saw;1;10;9;1;3621;25179;28800;0.629;0.874;0.799;0.9;1;0.01;0.09
24/05/2023;2023;5;May;Q2;21;Band Saw;1;15;14;1;4420;24380;28800;0.649;0.847;0.821;0.933;1;0.0667;0.9333
25/05/2023;2023;5;May;Q2;21;Band Saw;1;15;13;2;3650;25150;28800;0.639;0.873;0.845;0.867;1;0.1333;0.8667
26/05/2023;2023;5;May;Q2;21;Band Saw;1;17;16;1;4615;24185;28800;0.717;0.84;0.907;0.941;1;0.0588;0.9412
27/05/2023;2023;5;May;Q2;21;Band Saw;1;11;10;1;4334;24466;28800;0.64;0.85;0.828;0.909;1;0.0909;0.9091
28/05/2023;2023;5;May;Q2;21;Band Saw;1;11;11;0;4169;24631;28800;0.73;0.855;0.854;1;1;0;1
29/05/2023;2023;5;May;Q2;22;Band Saw;1;16;14;2;3583;25217;28800;0.648;0.876;0.845;0.875;1;0.0125;0.0875
30/05/2023;2023;5;May;Q2;22;Band Saw;1;16;15;1;3873;24927;28800;0.719;0.866;0.886;0.938;1;0.0625;0.9375
31/05/2023;2023;5;May;Q2;22;Band Saw;1;15;14;1;5039;23761;28800;0.717;0.825;0.932;0.933;1;0.0667;0.9333
01/06/2023;2023;6;Jun;Q2;22;Band Saw;1;16;16;0;4817;23983;28800;0.69;0.833;0.828;1;1;0;1
02/06/2023;2023;6;Jun;Q2;22;Band Saw;1;13;11;2;3522;25278;28800;0.616;0.878;0.829;0.846;1;0.1538;0.8462
03/06/2023;2023;6;Jun;Q2;22;Band Saw;1;15;13;2;4465;24335;28800;0.645;0.845;0.881;0.867;1;0.1333;0.8667
04/06/2023;2023;6;Jun;Q2;22;Band Saw;1;16;16;0;5036;23764;28800;0.717;0.825;0.869;1;1;0;1
05/06/2023;2023;6;Jun;Q2;23;Band Saw;1;13;13;0;2916;25884;28800;0.817;0.899;0.908;1;1;0;1
06/06/2023;2023;6;Jun;Q2;23;Band Saw;1;20;20;0;4854;23946;28800;0.72;0.831;0.866;1;1;0;1
07/06/2023;2023;6;Jun;Q2;23;Band Saw;1;16;14;2;3798;25002;28800;0.633;0.868;0.834;0.875;1;0.0125;0.0875
08/06/2023;2023;6;Jun;Q2;23;Band Saw;1;12;11;1;4878;23922;28800;0.659;0.831;0.866;0.917;1;0.0833;0.9167
09/06/2023;2023;6;Jun;Q2;23;Band Saw;1;17;16;1;3710;25090;28800;0.724;0.871;0.884;0.941;1;0.0588;0.9412
10/06/2023;2023;6;Jun;Q2;23;Band Saw;1;12;12;0;2798;26002;28800;0.789;0.903;0.874;1;1;0;1
11/06/2023;2023;6;Jun;Q2;23;Band Saw;1;17;16;1;2953;25847;28800;0.729;0.897;0.863;0.941;1;0.0588;0.9412
12/06/2023;2023;6;Jun;Q2;24;Band Saw;1;18;16;2;4420;24380;28800;0.664;0.847;0.882;0.889;1;0.1111;0.8889
13/06/2023;2023;6;Jun;Q2;24;Band Saw;1;13;12;1;4605;24195;28800;0.687;0.84;0.886;0.923;1;0.0769;0.9231
14/06/2023;2023;6;Jun;Q2;24;Band Saw;1;17;12;5;3586;25214;28800;0.552;0.875;0.893;0.706;1;0.2941;0.7059
15/06/2023;2023;6;Jun;Q2;24;Band Saw;1;16;16;0;4937;23863;28800;0.719;0.829;0.868;1;1;0;1
16/06/2023;2023;6;Jun;Q2;24;Band Saw;1;17;15;2;2923;25877;28800;0.666;0.899;0.84;0.882;1;0.1176;0.8824
17/06/2023;2023;6;Jun;Q2;24;Band Saw;1;20;19;1;4320;24480;28800;0.687;0.85;0.851;0.95;1;0.005;0.095
18/06/2023;2023;6;Jun;Q2;24;Band Saw;1;14;13;1;3318;25482;28800;0.729;0.885;0.887;0.929;1;0.0714;0.9286
19/06/2023;2023;6;Jun;Q2;25;Band Saw;1;13;11;2;3807;24993;28800;0.601;0.868;0.818;0.846;1;0.1538;0.8462
20/06/2023;2023;6;Jun;Q2;25;Band Saw;1;12;11;1;4419;24381;28800;0.666;0.847;0.858;0.917;1;0.0833;0.9167
21/06/2023;2023;6;Jun;Q2;25;Band Saw;1;13;9;4;3625;25175;28800;0.504;0.874;0.833;0.692;1;0.3077;0.6923
22/06/2023;2023;6;Jun;Q2;25;Band Saw;1;15;15;0;4041;24759;28800;0.728;0.86;0.847;1;1;0;1
23/06/2023;2023;6;Jun;Q2;25;Band Saw;1;16;16;0;5259;23541;28800;0.727;0.817;0.889;1;1;0;1
24/06/2023;2023;6;Jun;Q2;25;Band Saw;1;15;13;2;3873;24927;28800;0.639;0.866;0.852;0.867;1;0.1333;0.8667
25/06/2023;2023;6;Jun;Q2;25;Band Saw;1;17;15;2;5110;23690;28800;0.615;0.823;0.848;0.882;1;0.1176;0.8824
26/06/2023;2023;6;Jun;Q2;26;Band Saw;1;15;14;1;3389;25411;28800;0.659;0.882;0.8;0.933;1;0.0667;0.9333
27/06/2023;2023;6;Jun;Q2;26;Band Saw;1;19;19;0;4842;23958;28800;0.725;0.832;0.871;1;1;0;1
28/06/2023;2023;6;Jun;Q2;26;Band Saw;1;14;14;0;5640;23160;28800;0.698;0.804;0.868;1;1;0;1
29/06/2023;2023;6;Jun;Q2;26;Band Saw;1;22;18;4;2214;26586;28800;0.694;0.923;0.919;0.818;1;0.1818;0.8182
30/06/2023;2023;6;Jun;Q2;26;Band Saw;1;16;16;0;3680;25120;28800;0.729;0.872;0.836;1;1;0;1
01/07/2023;2023;7;Jul;Q3;26;Band Saw;1;12;12;0;4883;23917;28800;0.709;0.83;0.853;1;1;0;1
02/07/2023;2023;7;Jul;Q3;26;Band Saw;1;12;12;0;4200;24600;28800;0.73;0.854;0.854;1;1;0;1
03/07/2023;2023;7;Jul;Q3;27;Band Saw;1;16;15;1;4703;24097;28800;0.705;0.837;0.899;0.938;1;0.0625;0.9375
04/07/2023;2023;7;Jul;Q3;27;Band Saw;1;14;14;0;3849;24951;28800;0.73;0.866;0.843;1;1;0;1
05/07/2023;2023;7;Jul;Q3;27;Band Saw;1;17;16;1;4454;24346;28800;0.681;0.845;0.855;0.941;1;0.0588;0.9412
06/07/2023;2023;7;Jul;Q3;27;Band Saw;1;16;16;0;4242;24558;28800;0.739;0.853;0.867;1;1;0;1
07/07/2023;2023;7;Jul;Q3;27;Band Saw;1;15;13;2;5400;23400;28800;0.6;0.812;0.852;0.867;1;0.1333;0.8667
08/07/2023;2023;7;Jul;Q3;27;Band Saw;1;13;13;0;4601;24199;28800;0.698;0.84;0.831;1;1;0;1
09/07/2023;2023;7;Jul;Q3;27;Band Saw;1;11;10;1;4674;24126;28800;0.649;0.838;0.853;0.909;1;0.0909;0.9091
10/07/2023;2023;7;Jul;Q3;28;Band Saw;1;14;12;2;4017;24783;28800;0.651;0.861;0.882;0.857;1;0.1429;0.8571
11/07/2023;2023;7;Jul;Q3;28;Band Saw;1;17;15;2;3951;24849;28800;0.618;0.863;0.811;0.882;1;0.1176;0.8824
12/07/2023;2023;7;Jul;Q3;28;Band Saw;1;15;14;1;3999;24801;28800;0.684;0.861;0.85;0.933;1;0.0667;0.9333
13/07/2023;2023;7;Jul;Q3;28;Band Saw;1;11;11;0;4723;24077;28800;0.687;0.836;0.822;1;1;0;1
